wdId,eng,chi,grade,gradechi
329,alien,[形容詞] 外國的;外國人的; [名詞] 外國人;外星人,3,中高級
330,alienate,[動詞] 使疏遠;離間,3,中高級
331,alike,[形容詞] 相似的; [副詞] 一樣地,1,初級
332,alive,[形容詞] 活著的;活躍的,1,初級
333,all,[形容詞] 所有的;全部; [副詞] 完全地;(比分等)雙方相等; [代名詞] 一切,1,初級
334,allegation,[名詞] 指控;(無證據的)指控,3,中高級
335,allege,[動詞] 指控;斷言;宣稱,3,中高級
336,alleged,[形容詞] 聲稱的;被說成的,3,中高級
337,allergic,[形容詞] 過敏的,3,中高級
338,allergy,[名詞] 過敏症,3,中高級
339,alleviate,[動詞] 減輕;緩和,3,中高級
340,alley,[名詞] 小巷,2,中級
341,alliance,[名詞] 結盟;聯盟,3,中高級
342,allied,[形容詞] 結盟的;同類的,3,中高級
343,alligator,[名詞] 短吻鱷,3,中高級
344,allocate,[動詞] 分派;分配,3,中高級
345,allow,[動詞] 允許,1,初級
346,allowance,[名詞] 津貼,2,中級
347,alloy,[名詞] 合金,3,中高級
348,ally,[動詞] 使結盟;使聯姻; [名詞] 同盟國;同盟者,3,中高級
349,almond,[名詞] 杏仁,3,中高級
350,almost,[副詞] 幾乎,1,初級
351,alone,[形容詞] 單獨的;孤單的; [副詞] 單獨地;獨自地,1,初級
352,along,[副詞] 向前;一起;帶著;來到;去到; [介系詞] 沿著,1,初級
353,alongside,[副詞] 在旁邊;沿著; [介系詞] 在...旁邊;沿著...的邊,2,中級
354,aloud,[副詞] 大聲地,1,初級
355,alphabet,[名詞] 字母,1,初級
356,already,[副詞] 已經,1,初級
357,also,[副詞] 也,1,初級
358,alter,[動詞] 改變;修改,3,中高級
359,alternate,[形容詞] 輪流的; [動詞] 輪流,3,中高級
360,alternative,[形容詞] 兩者(或若干)中擇一的; [名詞] 選擇的自由(或餘地),2,中級
361,alternatively,[副詞] 二者選一地,3,中高級
362,although,[連接詞] 雖然,1,初級
363,altitude,[名詞] 高度;海拔,2,中級
364,altogether,[副詞] 完全地;總共,1,初級
365,aluminium,[名詞] 鋁,2,中級
366,always,[副詞] 總是,1,初級
367,am,[動詞] 是,1,初級
368,amateur,[形容詞] 業餘的;外行的; [名詞] 業餘從事者;外行,2,中級
369,amaze,[動詞] 使大為驚奇,2,中級
370,amazed,[形容詞] 吃驚的,2,中級
371,amazing,[形容詞] 驚人的,2,中級
372,ambassador,[名詞] 大使,2,中級
373,ambiguity,[名詞] 意義不明確;模稜兩可的話,3,中高級
374,ambiguous,[形容詞] 含糊不清的,3,中高級
375,ambition,[名詞] 野心,2,中級
376,ambitious,[形容詞] 有野心的,2,中級
377,ambulance,[名詞] 救護車,1,初級
378,ambush,[動詞] 埋伏下;伏擊; [名詞] 埋伏;伏擊,3,中高級
379,amend,[動詞] 修訂;改善,3,中高級
380,amendment,[名詞] 修正;改善,3,中高級
381,amends,[名詞] 賠罪;賠償,3,中高級
382,amiable,[形容詞] 和藹可親的,3,中高級
383,amicable,[形容詞] 友善的;溫和的,3,中高級
384,amid,[介系詞] 在...之間;在...之中,2,中級
385,ammunition,[名詞] 軍火;砲彈,3,中高級
386,amnesty,[名詞] 大赦,3,中高級
387,among,[介系詞] 在...之中,1,初級
388,amount,[名詞] 總數,1,初級
389,ample,[形容詞] 大量的;充裕的,3,中高級
390,amplify,[動詞] 放大(聲音等);擴大,3,中高級
391,amuse,[動詞] 逗...高興,2,中級
392,amused,[形容詞] 被逗樂的,2,中級
393,amusement,[名詞] 樂趣;消遣,2,中級
394,amusing,[形容詞] 好玩的;引人發笑的,2,中級
395,an,[冠詞] 一個;一種,1,初級
396,analogy,[名詞] 相似;類推;類比,3,中高級
397,analysis,[名詞] 分析,2,中級
398,analyst,[名詞] 分析師,2,中級
399,analytical,[形容詞] 分析的,3,中高級
400,analyze,[動詞] 分析,2,中級
401,ancestor,[名詞] 祖宗,2,中級
402,anchor,[動詞] 拋錨;繫住;主持電視新聞節目; [名詞] 錨;靠山;電視新聞節目主持人,3,中高級
403,ancient,[形容詞] 古代的,1,初級
404,and,[連接詞] 和；及；而；就,1,初級
405,anecdote,[名詞] 軼事;祕史,3,中高級
406,angel,[名詞] 天使,1,初級
407,anger,[名詞] 生氣,1,初級
408,angle,[名詞] 角度,2,中級
409,angler,[名詞] 垂釣者,3,中高級
410,angry,[形容詞] 生氣的,1,初級
411,animal,[名詞] 動物,1,初級
412,animate,[形容詞] 有生命的;活潑的;有活力的; [動詞] 賦予生命;繪製(卡通影片),3,中高級
413,animated,[形容詞] 活躍的;卡通(片)的,3,中高級
414,ankle,[名詞] 腳踝,1,初級
415,anniversary,[名詞] 周年紀念日,2,中級
416,announce,[動詞] 宣佈,2,中級
417,announcement,[名詞] 宣佈,2,中級
418,announcer,[名詞] 宣告者;廣播員,2,中級
419,annoy,[動詞] 惹惱,2,中級
420,annoyance,[名詞] 惱怒;打擾;討厭的東西(或人),3,中高級
421,annoyed,[形容詞] 惱怒的,2,中級
422,annoying,[形容詞] 惱人的,2,中級
423,annual,[形容詞] 一年一次的;每年的; [名詞] 年刊,2,中級
424,anonymous,[形容詞] 匿名的,3,中高級
425,another,[形容詞] 另一個; [代名詞] 另一個,1,初級
426,answer,[動詞] 回答; [名詞] 答案,1,初級
427,ant,[名詞] 螞蟻,1,初級
428,antarctic,[形容詞] 南極的;南極區的; [名詞] 南極區,3,中高級
429,antenna,[名詞] 觸角;觸鬚;天線,3,中高級
430,anthem,[名詞] 國歌;頌歌,3,中高級
431,antibiotic,[形容詞] 抗生的;抗菌的; [名詞] 抗生素;抗菌素,3,中高級
432,antibody,[名詞] 抗體,3,中高級
433,anticipate,[動詞] 預期;預先考慮到,3,中高級
434,anticipation,[名詞] 預期,3,中高級
435,antique,[形容詞] 年代久遠的;古董的; [名詞] 古物;古董;古風,3,中高級
436,antonym,[名詞] 反義字,3,中高級
437,anxiety,[名詞] 焦慮,2,中級
438,anxious,[形容詞] 焦慮的,2,中級
439,any,[形容詞] 任何的; [副詞] (用於疑問句,1,初級
440,anybody,[代名詞] 任何人,1,初級
441,anyhow,[副詞] 無論如何,2,中級
442,anymore,[副詞] (不)再;再也(不),3,中高級
443,anyone,[代名詞] 任何人,1,初級
444,anything,[代名詞] 任何事物,1,初級
445,anytime,[副詞] 在任何時候,2,中級
446,anyway,[副詞] 不管怎樣,1,初級
447,anywhere,[副詞] 任何地方,1,初級
448,apart,[形容詞] 分開的,2,中級
449,apartheid,[名詞] 種族隔離政策;隔離,3,中高級
450,apartment,[名詞] 公寓,1,初級
451,ape,[動詞] 模仿; [名詞] 大猩猩,2,中級
452,apologize,[動詞] 道歉,1,初級
453,apology,[名詞] 道歉,2,中級
454,appall,[動詞] 使驚恐;使厭惡,3,中高級
455,appalling,[形容詞] 駭人的;十分低劣的,3,中高級
456,apparatus,[名詞] 設備;裝置;機構,3,中高級
457,apparent,[形容詞] 明顯的,2,中級
458,apparently,[副詞] 顯然地,2,中級
459,appeal,[動詞] 呼籲,2,中級
460,appear,[動詞] 出現,1,初級
461,appearance,[名詞] 出現;顯露;外貌,1,初級
462,appendix,[名詞] 附錄;附件;盲腸,3,中高級
463,appetite,[名詞] 胃口,2,中級
464,applaud,[動詞] 向...鼓掌;稱讚,2,中級
465,applause,[名詞] 鼓掌歡迎,2,中級
466,apple,[名詞] 蘋果,1,初級
467,appliance,[名詞] 用具;裝置,2,中級
468,applicable,[形容詞] 合用的;可實施的,3,中高級
469,applicant,[名詞] 申請人,2,中級
470,application,[名詞] 申請,2,中級
471,apply,[動詞] 塗,1,初級
472,appoint,[動詞] 任命,2,中級
473,appointment,[名詞] (尤指正式的)約會;約定,2,中級
474,appraisal,[名詞] 評價;估量,3,中高級
475,appreciable,[形容詞] 看(或察覺)得出的,3,中高級
476,appreciate,[動詞] 感謝;賞識,1,初級
477,appreciation,[名詞] 欣賞,2,中級
478,apprehension,[名詞] 理解;領悟,3,中高級
479,apprentice,[動詞] 當學徒; [名詞] 學徒;生手,3,中高級
480,approach,[動詞] 接近,2,中級
481,appropriate,[形容詞] 適當的,2,中級
482,approval,[名詞] 批准;認可,2,中級
483,approve,[動詞] 同意;贊許,2,中級
484,approximate,[形容詞] 近似的;大概的; [動詞] 接近;近似;大致估計,3,中高級
485,apron,[名詞] 圍裙;工作裙,2,中級
486,apt,[形容詞] 易於...的;恰當的;聰明的,3,中高級
487,aptitude,[名詞] 傾向;習性;天資,3,中高級
488,aquarium,[名詞] 養魚缸;水族館,2,中級
489,arbitrary,[形容詞] 任意的;隨心所欲的,3,中高級
490,arc,[動詞] 成弧形; [名詞] 弧形;弧形物,3,中高級
491,arch,[動詞] 使成弧形,2,中級
492,archaeology,[名詞] 考古學,3,中高級
493,architect,[名詞] 建築師,2,中級
494,architectural,[形容詞] 建築學的;有關建築的,3,中高級
495,architecture,[名詞] 建築學,2,中級
496,archive,[動詞] 歸檔; [名詞] 檔案館;資料庫;檔案,3,中高級
497,arctic,[形容詞] 北極的;北極區的; [名詞] 北極地帶;北極圈,3,中高級
498,are,[動詞] 是,1,初級
499,area,[名詞] 地區;面積,1,初級
500,aren't,[縮短形] are not,1,初級
501,arena,[名詞] 體育場;競技場,3,中高級
502,argue,[動詞] 爭論,1,初級
503,argument,[名詞] 爭論,2,中級
504,arise,[動詞] 升起,2,中級
505,arithmetic,[形容詞] 算術的; [名詞] 算術,2,中級
506,arm,[名詞] 手臂,1,初級
507,armchair,[名詞] 扶手椅子,1,初級
508,armed,[形容詞] 武裝的,2,中級
509,armor,[動詞] 穿盔甲(或加裝甲);提供防禦; [名詞] 盔甲;裝甲;(動、植物)保護層,3,中高級
510,armored,[形容詞] 裝甲的;裝鋼板的,3,中高級
511,arms,[名詞] 武器;戰爭;戰鬥;兵役,3,中高級
512,army,[名詞] 軍隊;大群,1,初級
